net,length_um
_00962_,87.7µm
net994,87.68µm
_00333_,87.66µm
_08935_,87.6µm
_08722_,87.52µm
_10185_,87.52µm
_09135_,87.4µm
_07323_,87.28µm
_11369_,87.26µm
_03681_,87.18µm
_03795_,87.16µm
_01406_,87.1µm
_12350_,87.1µm
clknet_leaf_20_clk,86.9µm
_11861_,86.88µm
_06344_,86.76µm
_05239_,86.68µm
_13528_,86.68µm
_00909_,86.66µm
net234,86.64µm
_03669_,86.6µm
_12295_,86.6µm
_05064_,86.28µm
_02571_,86.19µm
_00691_,86.15µm
_10560_,86.14µm
net438,86.13µm
net407,86.11µm
net1052,86.08µm
_11184_,86.06µm
net169,86.04µm
_11420_,86µm
_14764_,85.83µm
net447,85.685µm
net1015,85.62µm
net980,85.48µm
_10220_,85.26µm
_12439_,85.14µm
_13660_,85.1µm
_04383_,84.89µm
_00352_,84.87µm
_00281_,84.74µm
net287,84.65µm
clknet_leaf_18_clk,84.6µm
_06460_,84.54µm
_08217_,84.54µm
_14680_,84.48µm
mantisaAshift\[56\],84.4µm
net408,84.36µm
_06960_,84.28µm
_02319_,84.26µm
_12630_,84.17µm
_02387_,84.14µm
_04380_,84.1µm
_11095_,84.06µm
_08487_,83.95µm
_00002_,83.82µm
_14955_,83.74µm
_01093_,83.66µm
net249,83.64µm
_10407_,83.62µm
_03045_,83.6µm
net387,83.575µm
_04165_,83.57µm
_06633_,83.54µm
net242,83.54µm
_11859_,83.425µm
_09400_,83.41µm
net967,83.34µm
_09406_,83.32µm
_00373_,83.2µm
_02979_,83.18µm
_03657_,83.16µm
net225,83.025µm
net330,83.02µm
net472,83.02µm
net417,82.98µm
_08493_,82.84µm
_12830_,82.68µm
_01753_,82.66µm
net275,82.58µm
_12620_,82.52µm
_10008_,82.47µm
_00999_,82.44µm
_09108_,82.39µm
net517,82.38µm
_09792_,82.32µm
net1046,82.3µm
_01019_,82.08µm
net295,82.06µm
_07720_,82.045µm
_06126_,82µm
net886,81.91µm
_10919_,81.78µm
net285,81.76µm
net354,81.66µm
_05763_,81.6µm
net985,81.6µm
_04389_,81.51µm
_10413_,81.48µm
_12355_,81.44µm
_04997_,81.36µm
_00485_,81.31µm
net333,81.12µm
_08786_,80.83µm
_06289_,80.58µm
_10353_,80.48µm
net319,80.46µm
_01371_,80.33µm
_15117_,80.28µm
_03033_,80.26µm
_00946_,80.235µm
net247,80µm
net839,79.92µm
_12449_,79.86µm
_03502_,79.82µm
_11763_,79.82µm
_11390_,79.6µm
net473,79.58µm
_05747_,79.575µm
net353,79.56µm
_12409_,79.46µm
_08784_,79.43µm
_02803_,79.41µm
_12775_,79.28µm
_10688_,79.22µm
_11591_,79.2µm
_02063_,79.18µm
mantisaresult\[54\],79.14µm
_14967_,79.08µm
_05843_,78.98µm
_10549_,78.96µm
expmiddlec\[1\],78.96µm
_05142_,78.78µm
_00988_,78.76µm
_12142_,78.75µm
_10264_,78.74µm
_11362_,78.66µm
net463,78.64µm
_08552_,78.62µm
_05707_,78.54µm
_02665_,78.52µm
_09590_,78.52µm
_03043_,78.38µm
_12956_,78.34µm
net449,78.24µm
clknet_leaf_26_clk,78.18µm
net392,77.84µm
_10430_,77.74µm
_14973_,77.74µm
_03967_,77.64µm
net421,77.62µm
_00275_,77.58µm
_09363_,77.53µm
_05199_,77.52µm
_02073_,77.5µm
net969,77.44µm
_12643_,77.42µm
net973,77.41µm
net278,77.4µm
_10415_,77.26µm
_00066_,77.245µm
_12162_,77.21µm
net117,77.2µm
_10153_,77.13µm
_01710_,77.08µm
net315,77.08µm
_05085_,77.04µm
_06273_,76.94µm
net954,76.9µm
_12092_,76.86µm
_14979_,76.86µm
