net,length_um
array\[14\]\[18\],17.74µm
_1637_,17.64µm
_0618_,17.62µm
array\[15\]\[2\],17.62µm
_0751_,17.56µm
_0853_,17.56µm
_1863_,17.5µm
_1112_,17.48µm
net788,17.4µm
array\[4\]\[28\],17.36µm
_1842_,17.355µm
net1312,17.34µm
array\[2\]\[25\],17.32µm
array\[10\]\[16\],17.28µm
_1030_,17.26µm
_1568_,17.26µm
_1860_,17.26µm
net122,17.24µm
_0907_,17.22µm
_2017_,17.21µm
_1387_,17.18µm
_1490_,17.18µm
_0003_,17.16µm
_0732_,17.16µm
out[10],17.13µm
_1552_,17.12µm
array\[0\]\[24\],17.12µm
_1729_,17.1µm
net147,17.1µm
_0942_,17.08µm
array\[14\]\[22\],17.08µm
array\[15\]\[8\],17.065µm
_0452_,17.045µm
_0157_,17.025µm
_0314_,17.025µm
_2015_,17.02µm
_0349_,17µm
_1880_,17µm
_1987_,17µm
value2[26],17µm
_0591_,16.94µm
array\[13\]\[8\],16.94µm
array\[0\]\[18\],16.9µm
net116,16.9µm
net1173,16.9µm
array\[1\]\[22\],16.87µm
array\[12\]\[4\],16.86µm
array\[7\]\[25\],16.845µm
_0833_,16.84µm
net1189,16.84µm
array\[1\]\[15\],16.82µm
array\[4\]\[16\],16.795µm
_1535_,16.72µm
_1953_,16.68µm
_2070_,16.68µm
_1954_,16.64µm
array\[14\]\[13\],16.64µm
ready_check\[6\],16.635µm
_0499_,16.605µm
_2020_,16.6µm
array\[3\]\[19\],16.6µm
array\[5\]\[2\],16.56µm
out[26],16.52µm
_2069_,16.5µm
ready_check\[1\],16.48µm
_2040_,16.46µm
array\[2\]\[21\],16.44µm
_1766_,16.33µm
array\[15\]\[18\],16.325µm
_2030_,16.32µm
_0090_,16.305µm
_1389_,16.3µm
_1485_,16.3µm
_1947_,16.3µm
_0136_,16.275µm
_1498_,16.26µm
_1925_,16.26µm
array\[15\]\[6\],16.26µm
_0922_,16.24µm
array\[0\]\[10\],16.24µm
_1276_,16.22µm
_0205_,16.205µm
_1032_,16.2µm
_0234_,16.185µm
_1698_,16.18µm
_1714_,16.16µm
_0333_,16.125µm
array\[8\]\[27\],16.12µm
array\[7\]\[7\],16.115µm
_1306_,16.1µm
array\[12\]\[21\],16.06µm
out[11],16.06µm
out[18],16.06µm
_1529_,16.04µm
_0781_,16.02µm
array\[13\]\[28\],16.02µm
array\[1\]\[24\],16µm
array\[13\]\[19\],15.98µm
_2027_,15.96µm
array\[15\]\[29\],15.945µm
_1129_,15.94µm
_1179_,15.92µm
net132,15.9µm
net18,15.88µm
