net,length_um
mantisaBshift\[19\],20.34µm
_0851_,20.335µm
mantisaAshift\[51\],20.3µm
_1151_,20.26µm
_1577_,20.24µm
expmiddle\[6\],20.2µm
_1487_,20.16µm
mantisa[6],20.09µm
_1534_,20.02µm
_1555_,19.94µm
_1277_,19.93µm
_0767_,19.92µm
_0000_,19.9µm
_0866_,19.86µm
_1168_,19.86µm
_0257_,19.82µm
_1521_,19.82µm
_1030_,19.78µm
_0475_,19.68µm
_0506_,19.66µm
_1009_,19.6µm
expadd\[1\],19.495µm
_1432_,19.465µm
_0426_,19.46µm
net29,19.42µm
_1506_,19.4µm
_1562_,19.4µm
_1469_,19.38µm
_1509_,19.38µm
_1306_,19.32µm
_1703_,19.32µm
mantisaBshift\[21\],19.32µm
_0678_,19.3µm
_0875_,19.28µm
_1262_,19.26µm
_0494_,19.24µm
_1210_,19.22µm
mantisaBshift\[33\],19.16µm
mantisaBshift\[29\],19.14µm
_0028_,19.1µm
_0556_,19.1µm
_1655_,19.1µm
_1457_,19.05µm
net57,19.04µm
mantisaAshift\[44\],19.02µm
_0777_,19µm
_1222_,19µm
expadd\[4\],19µm
mantisaBshift\[60\],19µm
_1900_,18.96µm
_0521_,18.94µm
expadd\[0\],18.9µm
_1844_,18.88µm
_1851_,18.88µm
_1108_,18.84µm
_1323_,18.82µm
_1337_,18.82µm
net299,18.795µm
_1872_,18.78µm
_1920_,18.78µm
net139,18.74µm
_1484_,18.665µm
net65,18.64µm
net53,18.635µm
mantisaA0\[16\],18.6µm
net336,18.6µm
_0523_,18.56µm
_0337_,18.5µm
_1456_,18.48µm
_1490_,18.44µm
_1502_,18.44µm
_1714_,18.37µm
mantisaBshift\[43\],18.36µm
_0380_,18.32µm
_0441_,18.28µm
_1791_,18.28µm
net60,18.24µm
_1257_,18.22µm
net44,18.18µm
_0965_,18.14µm
_0579_,18.12µm
_0868_,18.12µm
_1349_,18.08µm
_1203_,18µm
_1293_,18µm
_1668_,17.98µm
net48,17.98µm
inf1,17.96µm
_0803_,17.94µm
_1198_,17.94µm
_1503_,17.88µm
_0808_,17.86µm
_0814_,17.86µm
_1911_,17.86µm
_1794_,17.835µm
_0466_,17.81µm
_0420_,17.78µm
_1421_,17.75µm
_1783_,17.72µm
_0359_,17.7µm
_1100_,17.68µm
_1305_,17.68µm
mantisaBshift\[55\],17.64µm
net339,17.64µm
net59,17.61µm
_0857_,17.6µm
net253,17.6µm
_1234_,17.58µm
_0545_,17.56µm
mantisaBshift\[20\],17.56µm
_0830_,17.52µm
net63,17.52µm
_0411_,17.48µm
_0841_,17.48µm
_1873_,17.42µm
_0239_,17.405µm
_1239_,17.4µm
_1264_,17.4µm
mantisaBshift\[56\],17.4µm
_0303_,17.38µm
_0273_,17.34µm
_0884_,17.3µm
_0831_,17.22µm
_1765_,17.18µm
_1762_,17.16µm
